16;0.01;1.1472499237060547;63.867
16;0.02;1.634371337890625;59.246
16;0.05;2.1600240631103516;37.448
16;0.1;2.329157699584961;23.096
16;0.2;2.2387852783203126;14.222
16;0.5;1.8008920288085937;7.106
32;0.01;1.155547866821289;63.986
32;0.02;1.6436578063964844;61.761
32;0.05;2.1638146057128904;42.427
32;0.1;2.3327149810791017;25.248
32;0.2;2.2418587341308593;14.841
32;0.5;1.7983639831542968;6.947
64;0.01;1.156213607788086;63.997
64;0.02;1.6471343536376952;63.042
64;0.05;2.1538572845458983;51.04
64;0.1;2.3243496398925783;31.589
64;0.2;2.2497074432373045;17.865
64;0.5;1.8260528411865233;7.783
128;0.01;1.1510009765625;64
128;0.02;1.606629638671875;63.038
128;0.05;2.1504374542236326;58.803
128;0.1;2.3040171508789062;39.94
128;0.2;2.2895799255371094;22.353
128;0.5;1.924846893310547;9.186
256;0.01;1.3061563110351562;64
256;0.02;1.5900457458496093;63.003
256;0.05;2.182755126953125;62.486
256;0.1;2.312286926269531;49.438
256;0.2;2.331839752197266;28.562
256;0.5;2.1258206634521484;11.253
