16;0.01;1.1433474731445312;63.89
16;0.02;2.7776925659179685;122.78
16;0.05;4.938342437744141;160.29
16;0.1;7.267328948974609;183.64
16;0.2;9.505829162597657;197.84
16;0.5;11.306265258789063;205.05
32;0.01;12.463434600830078;269.02
32;0.02;14.100453643798827;331.15
32;0.05;16.26507843017578;373.28
32;0.1;18.597227020263674;398.49
32;0.2;20.839230346679688;412.99
32;0.5;22.637594299316405;419.93
64;0.01;23.797931518554687;483.92
64;0.02;25.440997009277343;547.02
64;0.05;27.59493377685547;597.85
64;0.1;29.918810119628905;629.74
64;0.2;32.168398742675784;647.74
64;0.5;33.99229888916015;655.39
128;0.01;35.148023529052736;719.39
128;0.02;36.75332489013672;782.42
128;0.05;38.90390045166016;841.02
128;0.1;41.20809188842773;880.56
128;0.2;43.497578887939454;902.7
128;0.5;45.4234797668457;912
256;0.01;46.728981018066406;976
256;0.02;48.31746139526367;1039
256;0.05;50.49973434448242;1101.36
256;0.1;52.8122509765625;1150.55
256;0.2;55.14396591186524;1179.31
256;0.5;57.2740266418457;1190.66
